"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Wang J.; Doogan N.; Thompson K.; Bernson D.; Feaster D.; Villani J.; Chandler R.; White L.F.; Kline D.; Barocas J.A.","Wang, Jianing (57204629465); Doogan, Nathan (55245979000); Thompson, Katherine (57072461400); Bernson, Dana (56034940400); Feaster, Daniel (6701727844); Villani, Jennifer (57204713594); Chandler, Redonna (56223342700); White, Laura F. (57203595649); Kline, David (57194034157); Barocas, Joshua A. (9738942500)","57204629465; 55245979000; 57072461400; 56034940400; 6701727844; 57204713594; 56223342700; 57203595649; 57194034157; 9738942500","Massachusetts Prevalence of Opioid Use Disorder Estimation Revisited: Comparing a Bayesian Approach to Standard Capture-Recapture Methods","2023","Epidemiology","34","6","","841","849","12","10.1097/EDE.0000000000001653","https://www.scopus.com/pages/publications/85172788066?origin=resultslist","Background: The National Survey on Drug Use and Health (NSDUH) estimated the prevalence of opioid use disorder (OUD) among the civilian, noninstitutionalized people aged 12 years or older in Massachusetts as 1.2% between 2015 and 2017. Accurate estimation of the prevalence of OUD is critical to the success of treatment and resource planning. Various indirect estimation approaches have been used but are subject to data availability and infrastructure-related issues. Methods: We used 2015 data from the Massachusetts Public Health Data Warehouse (PHD) to compare the results of two approaches to estimating OUD prevalence in the Massachusetts population. First, we used a seven-dataset capture-recapture analysis under log-linear model parameterization, controlling for the source dependence and effects of age, sex, and county through stratification. Second, we applied a benchmark-multiplier method in a Bayesian framework by linking health care claims data to death certificate data assuming an extrapolation of death rates from observed untreated OUD to unobserved OUD. Results: Our estimates for OUD prevalence among Massachusetts residents (aged 18-64 years) were 4.62% (95% CI = 4.59%, 4.64%) in the capture-recapture approach and 4.29% (95% CrI = 3.49%, 5.32%) in the Bayesian model. Both estimates were approximately four times higher than NSDUH estimates. Conclusion: The synthesis of our findings suggests that the disease surveillance system misses a large portion of the population with OUD. Our study also suggests that concurrent use of multiple methods improves the justification and facilitates the triangulation and interpretation of the resulting estimates. Trial registration: ClinicalTrials.gov Identifier: NCT04111939. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Bayesian benchmark-multiplier method; Capture-recapture analysis; Opioid use disorder prevalence estimation; Surveillance data integration","Bayes Theorem; Humans; Massachusetts; Opioid-Related Disorders; Prevalence; Research Design; opiate; adult; Article; Bayes theorem; comparative study; controlled study; data integration; data warehouse; death certificate; drug dependence; female; human; loglinear model; major clinical study; male; Massachusetts; medicaid; mortality rate; opioid use disorder; prevalence; public health; sensitivity analysis; Massachusetts; methodology; opiate addiction; prevalence","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85172788066"
"Kim S.E.; Mccoy J.; Boudreaux-Kelly M.; Hutchins F.; Cunningham F.; Rogal S.; Tzeng E.; Hall D.E.; Thorpe C.T.; Reitz K.M.","Kim, Sharon E. (60606502300); Mccoy, Jennifer (57205212313); Boudreaux-Kelly, Monique (56568425400); Hutchins, Franya (57214853867); Cunningham, Fran (57198206691); Rogal, Shari (15721190100); Tzeng, Edith (7003751560); Hall, Daniel E. (36019056500); Thorpe, Carolyn T. (14219539000); Reitz, Katherine M. (57196355509)","60606502300; 57205212313; 56568425400; 57214853867; 57198206691; 15721190100; 7003751560; 36019056500; 14219539000; 57196355509","Compliance with the Veterans Health Administration's Pharmacy Benefit Management guidance for duration of clopidogrel following peripheral vascular interventions: a retrospective cohort study","2026","Journal of Managed Care and Specialty Pharmacy ","32","5","","613","624","0","10.18553/jmcp.2026.32.5.613","https://www.scopus.com/pages/publications/105037296074?origin=resultslist","BACKGROUND: Clopidogrel was added to the national formulary of the Veterans Health Administration (VHA) in 2000, with national guidance in the form of Criteria for Use (CFU) generated in 2007 by the Pharmacy Benefits Management office. Although the national CFU restricted the duration of clopidogrel to no more than 30 days following peripheral vascular intervention (PVI) for peripheral artery disease (PAD), each local VHA Veterans Affairs Medical Center (VAMC) determined its own strategies of implementation. Strategies ranged from passive diffusion of information to electronic health record-mandated pharmacist approval for noncompliant CFU prescribing. OBJECTIVE: To characterize patterns of compliance to restricted duration of clopidogrel and determine the factors associated with compliance. METHODS: In a retrospective cohort study, we used the Veterans Affairs Surgical Quality Initiative Program (2007-2022) to identify index PVI performed for PAD and integrated post-PVI medication information from the VA Clinical Data Warehouse. Our primary outcome was to evaluate compliance with the CFU. During the active CFU period (2007-2018), we compared patient, procedural, and VAMC features by CFU compliance and determined their associations with compliance using multivariable logistic regression. We also characterized variation in compliance across the Veterans Integrated Service Network (VISN), VAMC, and surgeons. RESULTS: Among 7,206 PVIs with postoperative clopidogrel, 35% and 26% had post-PVI clopidogrel durations of no more than 30 days during and after the CFU period, respectively. During the active CFU period, we found no strong association among patient, PVI, and VAMC characteristics with compliance. Compliance during the active CFU period varied significantly among VISNs (16%-55%), VAMCs (0%-93%), and surgeons (0%-100%). CONCLUSIONS: Adherence to no more than 30 days of clopidogrel post-PVI was low during and after the active CFU period and varied substantially among the VISNs, VAMCs, and surgeons. Given that national guidance implementation was directed by local VHA pharmacies, this study highlights the importance and limitations of local implementation strategies on national guidance compliance. © 2026, Academy of Managed Care Pharmacy. All rights reserved.","","Aged; Clopidogrel; Female; Guideline Adherence; Humans; Male; Middle Aged; Peripheral Arterial Disease; Platelet Aggregation Inhibitors; Retrospective Studies; United States; United States Department of Veterans Affairs; acetylsalicylic acid; clopidogrel; hydroxymethylglutaryl coenzyme A reductase inhibitor; insulin; antithrombocytic agent; clopidogrel; aged; Article; cohort analysis; controlled study; criteria for use; female; health care management; human; major clinical study; male; medication compliance; peripheral arterial disease; practice guideline; preoperative period; prescribing practice; retrospective study; sensitivity analysis; treatment duration; veterans health; drug therapy; government; middle aged; protocol compliance; surgery; United States","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105037296074"
"Tsopra R.; Fernandez X.; Luchinat C.; Alberghina L.; Lehrach H.; Vanoni M.; Dreher F.; Sezerman O.U.; Cuggia M.; de Tayrac M.; Miklasevics E.; Itu L.M.; Geanta M.; Ogilvie L.; Godey F.; Boldisor C.N.; Campillo-Gimenez B.; Cioroboiu C.; Ciusdel C.F.; Coman S.; Hijano Cubelos O.; Itu A.; Lange B.; Le Gallo M.; Lespagnol A.; Mauri G.; Soykam H.O.; Rance B.; Turano P.; Tenori L.; Vignoli A.; Wierling C.; Benhabiles N.; Burgun A.","Tsopra, Rosy (55560454800); Fernandez, Xose (57218620422); Luchinat, Claudio (7103221000); Alberghina, Lilia (26643295700); Lehrach, Hans (57050399800); Vanoni, Marco (35567237100); Dreher, Felix (36627150400); Sezerman, O.Ugur (15124634800); Cuggia, Marc (6507457425); de Tayrac, Marie (14028004600); Miklasevics, Edvins (12805841300); Itu, Lucian Mihai (36349647600); Geanta, Marius (57190185063); Ogilvie, Lesley (35784783600); Godey, Florence (6506385171); Boldisor, Cristian Nicolae (24829449300); Campillo-Gimenez, Boris (51565776900); Cioroboiu, Cosmina (57284958100); Ciusdel, Costin Florian (57195396736); Coman, Simona (36927911200); Hijano Cubelos, Oliver (57015600400); Itu, Alina (57203706344); Lange, Bodo (9238690500); Le Gallo, Matthieu (23479776600); Lespagnol, Alexandra (56561679800); Mauri, Giancarlo (7004284991); Soykam, H.Okan (57196261490); Rance, Bastien (23390302600); Turano, Paola (7003433915); Tenori, Leonardo (8951639300); Vignoli, Alessia (57190191512); Wierling, Christoph (6507006904); Benhabiles, Nora (6507075238); Burgun, Anita (7004335489)","55560454800; 57218620422; 7103221000; 26643295700; 57050399800; 35567237100; 36627150400; 15124634800; 6507457425; 14028004600; 12805841300; 36349647600; 57190185063; 35784783600; 6506385171; 24829449300; 51565776900; 57284958100; 57195396736; 36927911200; 57015600400; 57203706344; 9238690500; 23479776600; 56561679800; 7004284991; 57196261490; 23390302600; 7003433915; 8951639300; 57190191512; 6507006904; 6507075238; 7004335489","A framework for validating AI in precision medicine: considerations from the European ITFoC consortium","2021","BMC Medical Informatics and Decision Making","21","1","274","","","89","10.1186/s12911-021-01634-3","https://www.scopus.com/pages/publications/85116355315?origin=resultslist","Background: Artificial intelligence (AI) has the potential to transform our healthcare systems significantly. New AI technologies based on machine learning approaches should play a key role in clinical decision-making in the future. However, their implementation in health care settings remains limited, mostly due to a lack of robust validation procedures. There is a need to develop reliable assessment frameworks for the clinical validation of AI. We present here an approach for assessing AI for predicting treatment response in triple-negative breast cancer (TNBC), using real-world data and molecular -omics data from clinical data warehouses and biobanks. Methods: The European “ITFoC (Information Technology for the Future Of Cancer)” consortium designed a framework for the clinical validation of AI technologies for predicting treatment response in oncology. Results: This framework is based on seven key steps specifying: (1) the intended use of AI, (2) the target population, (3) the timing of AI evaluation, (4) the datasets used for evaluation, (5) the procedures used for ensuring data safety (including data quality, privacy and security), (6) the metrics used for measuring performance, and (7) the procedures used to ensure that the AI is explainable. This framework forms the basis of a validation platform that we are building for the “ITFoC Challenge”. This community-wide competition will make it possible to assess and compare AI algorithms for predicting the response to TNBC treatments with external real-world datasets. Conclusions: The predictive performance and safety of AI technologies must be assessed in a robust, unbiased and transparent manner before their implementation in healthcare settings. We believe that the consideration of the ITFoC consortium will contribute to the safe transfer and implementation of AI in clinical settings, in the context of precision oncology and personalized care. © 2021, The Author(s).","Artificial intelligence; Cancer; Computerized decision support systems; Oncology; Personalized medicine; Precision medicine","Algorithms; Artificial Intelligence; Humans; Machine Learning; Neoplasms; Precision Medicine; algorithm; artificial intelligence; human; machine learning; neoplasm; personalized medicine","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85116355315"
"Herber J.M.; Santos F.M.","Herber, Jan Michael (59664512800); Santos, Felice Marie (60045280000)","59664512800; 60045280000","Establishing a Protocol for EHR Data Extraction Using the WHO SMART Guidelines: A Tertiary Medical Center Experience in the Philippines","2025","Studies in Health Technology and Informatics","329","","","1664","1665","0","10.3233/SHTI251153","https://www.scopus.com/pages/publications/105013297874?origin=resultslist","The increasing demand for data-driven clinical decision making from electronic health records (EHRs) requires a standardized framework to guide stakeholders on translating clinical data requirements to technical specifications. The WHO SMART Guidelines was identified to guide translating narrative policies and guidelines into machine-readable specifications, providing structure on how to extract data from an EHR. This framework can help healthcare facilities to systematically process the complexities of EHR adoption as a whole. © 2025 The Authors.","clinical data; clinical data extraction; clinical data warehouse; data governance; health information management; WHO SMART Guidelines","Data Mining; Electronic Health Records; Guidelines as Topic; Humans; Information Storage and Retrieval; Philippines; Practice Guidelines as Topic; Tertiary Care Centers; World Health Organization; Artificial intelligence; Data mining; Decision making; Electronic health record; Health care; Hospitals; Information management; Medical computing; Clinical data; Clinical data extraction; Clinical data warehouse; Data extraction; Data governances; Electronic health; Health information management; Health records; WHO SMART guideline; clinical decision making; clinical practice guideline; conference paper; data extraction; data warehouse; drug therapy; electronic health record; health care facility; human; medical information system; Philippines; protocol; World Health Organization; data mining; information retrieval; organization and management; Philippines; practice guideline; procedures; tertiary care center; World Health Organization; Specifications","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013297874"
"Bannay A.; Bories M.; Le Corre P.; Riou C.; Lemordant P.; van Hille P.; Chazard E.; Dode X.; Cuggia M.; Bouzillé G.","Bannay, Aurélie (23972174300); Bories, Mathilde (57221740177); Le Corre, Pascal (7006716048); Riou, Christine (36946714900); Lemordant, Pierre (57210799440); van Hille, Pascal (41762712600); Chazard, Emmanuel (23388323200); Dode, Xavier (35068056300); Cuggia, Marc (6507457425); Bouzillé, Guillaume (37010975900)","23972174300; 57221740177; 7006716048; 36946714900; 57210799440; 41762712600; 23388323200; 35068056300; 6507457425; 37010975900","Leveraging National Claims and Hospital Big Data: Cohort Study on a Statin-Drug Interaction Use Case","2021","JMIR Medical Informatics","9","12","e29286","","","5","10.2196/29286","https://www.scopus.com/pages/publications/85122023054?origin=resultslist","Background: Linking different sources of medical data is a promising approach to analyze care trajectories. The aim of the INSHARE (Integrating and Sharing Health Big Data for Research) project was to provide the blueprint for a technological platform that facilitates integration, sharing, and reuse of data from 2 sources: the clinical data warehouse (CDW) of the Rennes academic hospital, called eHOP (entrepôt Hôpital), and a data set extracted from the French national claim data warehouse (Système National des Données de Santé [SNDS]). Objective: This study aims to demonstrate how the INSHARE platform can support big data analytic tasks in the health field using a pharmacovigilance use case based on statin consumption and statin-drug interactions. Methods: A Spark distributed cluster-computing framework was used for the record linkage procedure and all analyses. A semideterministic record linkage method based on the common variables between the chosen data sources was developed to identify all patients discharged after at least one hospital stay at the Rennes academic hospital between 2015 and 2017. The use-case study focused on a cohort of patients treated with statins prescribed by their general practitioner or during their hospital stay. Results: The whole process (record linkage procedure and use-case analyses) required 88 minutes. Of the 161,532 and 164,316 patients from the SNDS and eHOP CDW data sets, respectively, 159,495 patients were successfully linked (98.74% and 97.07% of patients from SNDS and eHOP CDW, respectively). Of the 16,806 patients with at least one statin delivery, 8293 patients started the consumption before and continued during the hospital stay, 6382 patients stopped statin consumption at hospital admission, and 2131 patients initiated statins in hospital. Statin-drug interactions occurred more frequently during hospitalization than in the community (3800/10,424, 36.45% and 3253/14,675, 22.17%, respectively; P<.001). Only 121 patients had the most severe level of statin-drug interaction. Hospital stay burden (length of stay and in-hospital mortality) was more severe in patients with statin-drug interactions during hospitalization. Conclusions: This study demonstrates the added value of combining and reusing clinical and claim data to provide large-scale measures of drug-drug interaction prevalence and care pathways outside hospitals. It builds a path to move the current health care system toward a Learning Health System using knowledge generated from research on real-world health data. © Aurélie Bannay, Mathilde Bories, Pascal Le Corre, Christine Riou, Pierre Lemordant, Pascal Van Hille, Emmanuel Chazard, Xavier Dode, Marc Cuggia, Guillaume Bouzillé.","Administrative claims; Big data; Data linking; Data warehousing; Drug interactions; Health care; Statins","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122023054"
"Ansoborlo M.; Salpétrier C.; Nail L.-R.L.; Herbet J.; Cuggia M.; Rosset P.; Grammatico-Guillon L.","Ansoborlo, Marie (57224206861); Salpétrier, Christine (59297836400); Nail, Louis-Romé Le (55745622400); Herbet, Julien (59401961500); Cuggia, Marc (6507457425); Rosset, Philippe (7004685912); Grammatico-Guillon, Leslie (54410515500)","57224206861; 59297836400; 55745622400; 59401961500; 6507457425; 7004685912; 54410515500","Feasibility of automated surveillance of implantable devices in orthopaedics via clinical data warehouse: the Studio study","2024","BMC Medical Informatics and Decision Making","24","1","324","","","3","10.1186/s12911-024-02697-8","https://www.scopus.com/pages/publications/85208516565?origin=resultslist","Background: Total hip, knee and shoulder arthroplasties (THKSA) are increasing due to expanding demands in ageing population. Material surveillance is important to prevent severe complications involving implantable medical devices (IMD) by taking appropriate preventive measures. Automating the analysis of patient and IMD features could benefit physicians and public health policies, allowing early issue detection and decision support. The study aimed to demonstrate the feasibility of automated cohorting of patients with a first arthroplasty in two hospital data warehouses (HDW) in France. Methods: The study included adult patients with an arthroplasty between 2010 and 2019 identified by 2 data sources: hospital discharge and pharmacy. Selection was based on the health insurance thesaurus of IMDs in the pharmacy database: 1,523 distinct IMD references for primary THSKA. In the hospital discharge database, 22 distinct procedures for native joint replacement allowing a matching between IMD and surgical procedure of each patient selected. A program to automate information extraction was implemented in the 1st hospital data warehouse using natural language processing (NLP) on pharmacy labels, then it was then applied to the 2nd hospital. Results: The e-cohort was built with a first arthroplasty for THKSA performed in 7,587 patients with a mean age of 67.4 years, and a sex ratio of 0.75. The cohort involved 4,113 hip, 2,630 knee and 844 shoulder surgical patients. Obesity, cardio-vascular diseases and hypertension were the most frequent medical conditions. Discussion: The implementation of an e-cohort for material surveillance will be easily workable over HDWs France wild. Using NLP as no international IMD mapping exists to study IMD, our approach aims to close the gap between conventional epidemiological cohorting tools and bigdata approach. Conclusion: This pilot study demonstrated the feasibility of an e-cohort of orthopaedic devices using clinical data warehouses. The IMD and patient features could be studied with intra-hospital follow-up and will help analysing the infectious and unsealing complications. © The Author(s) 2024.","Arthroplasty; Data warehousing; Epidemiologic surveillance; Medical device safety","Aged; Aged, 80 and over; Arthroplasty, Replacement; Data Warehousing; Feasibility Studies; Female; France; Humans; Male; Middle Aged; Natural Language Processing; Prostheses and Implants; aged; data warehouse; feasibility study; female; France; human; male; middle aged; natural language processing; prostheses and orthoses; replacement arthroplasty; very elderly","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208516565"
"Di Muzio B.; Morgan B.; Darmaputri R.; Woo A.; Perry C.; Jarema A.; Hawkings P.; Cameron P.; Law M.","Di Muzio, Bruno (56901222400); Morgan, Ben (60572804000); Darmaputri, Rika (60572699900); Woo, Andrew (60573119700); Perry, Christopher (60572804100); Jarema, Alex (57218102264); Hawkings, Philippa (57216967986); Cameron, Peter (21643211500); Law, Meng (7202653021)","56901222400; 60572804000; 60572699900; 60573119700; 60572804100; 57218102264; 57216967986; 21643211500; 7202653021","Improving Imaging Appropriateness in the Emergency Department: Radiology Clinical Decision Support in a Quaternary Care Centre—A Retrospective Observational Study","2026","Journal of Medical Imaging and Radiation Oncology","","","","","","0","10.1111/1754-9485.70097","https://www.scopus.com/pages/publications/105035439708?origin=resultslist","Background: High volumes of low-value imaging represent a growing challenge for healthcare systems, contributing to unnecessary radiation exposure, increased costs, clinician burnout and environmental impact through CO2 emissions. Electronic Clinical Decision Support (eCDS) systems have emerged as a strategy to improve imaging appropriateness and reduce overutilisation. Methods: This retrospective observational study with pre- and post-implementation analysis evaluated the impact of an eCDS system (MedCurrent OrderWise) implemented in the emergency department (ED) of a quaternary hospital in Australia. Data were collected from 1 July 2024 to 30 June 2025 via the hospital data warehouse and vendor software administration application. Metrics included imaging request volumes, appropriateness scores (high, medium, low), order modifications and CT utilisation rates (examinations per 100 ED presentations). Analysis was descriptive, using absolute counts, percentages and rates. Results: Across the 12-month period, 75.3% of imaging requests were classified as high or medium appropriateness, indicating broad adherence to guidelines. Approximately 7% of orders were modified following eCDS prompts, reflecting meaningful improvements in appropriateness within a high-volume ED setting. CT utilisation decreased by 9.1% compared with the pre-eCDS period, suggesting a shift towards more selective imaging requests without restricting clinical autonomy. Educational engagement preceding implementation likely contributed to early reductions. Applying published emission estimates, this decline equated to an approximate reduction of 4744 kg of CO2 over 12 months. Conclusion: Integration of eCDS into clinical workflows was associated with improved imaging appropriateness, reduced low-value CT utilisation and potential environmental benefit. Sustained impact likely depends on clinician engagement, education and broader cultural change. © 2026 The Author(s). Journal of Medical Imaging and Radiation Oncology published by John Wiley & Sons Australia, Ltd on behalf of Royal Australian and New Zealand College of Radiologists.","clinical decision support; computed tomography; emergency department; imaging appropriateness; sustainability","","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035439708"
"Hagadorn J.I.; Shaffer M.L.; Tolia V.N.; Greenberg R.G.","Hagadorn, James I. (35356944900); Shaffer, Michele L. (7103369261); Tolia, Veeral N. (56060047500); Greenberg, Rachel G. (25951393200)","35356944900; 7103369261; 56060047500; 25951393200","Covariation of changing patent ductus arteriosus management and preterm infant outcomes in Pediatrix neonatal intensive care units","2021","Journal of Perinatology","41","10","","2526","2531","3","10.1038/s41372-021-01170-y","https://www.scopus.com/pages/publications/85111931368?origin=resultslist","Objective: To test the hypothesis that NICU-specific preterm infant outcomes co-vary with changes in local patent ductus arteriosus (PDA) management. Study design: This retrospective multicenter study examined NICU-specific aggregated data for infants born 400–1499 g (VLBW) in the Pediatrix Clinical Data Warehouse. For each NICU and each year 2006–2016 we calculated proportion of infants receiving cyclooxygenase inhibitor (COXI) and/or PDA ligation and determined NICU-specific changes in these therapies between consecutive years. We examined relationships between NICU-specific changes in COXI/ligation and concurrent changes in local adjusted in-hospital outcomes. Results: In 5678 observations of change at 259 NICUs summarizing 78,105 infants, between-year decreases in NICU-specific proportion treated with COXI/ligation were associated with concurrent increases in local mortality and decreases in BPD among infants 400–749 g, and with decreased pulmonary hemorrhage in larger infants. Conclusions: NICU-specific adjusted mortality, BPD, and pulmonary hemorrhage rates co-vary with changes in local COXI/ligation rates in some VLBW infant subgroups. © 2021, The Author(s), under exclusive licence to Springer Nature America, Inc.","","Cyclooxygenase Inhibitors; Ductus Arteriosus, Patent; Humans; Infant; Infant, Newborn; Infant, Premature; Intensive Care Units, Neonatal; Ligation; Retrospective Studies; ibuprofen; indometacin; prostaglandin synthase inhibitor; prostaglandin synthase inhibitor; Article; cohort analysis; controlled study; human; in-hospital mortality; infant; infant mortality; ligation; lung dysplasia; lung hemorrhage; major clinical study; mortality rate; necrotizing enterocolitis; neonatal intensive care unit; newborn; newborn mortality; observational study; patent ductus arteriosus; prematurity; propensity score; retrospective study; study design; treatment outcome; very low birth weight; clinical trial; ligation; multicenter study; patent ductus arteriosus; prematurity","Article","Final","","Scopus","2-s2.0-85111931368"
"Johns M.; Baum L.; Prasser F.","Johns, Marco (57219918237); Baum, Lena (58125828200); Prasser, Fabian (55295824400)","57219918237; 58125828200; 55295824400","Tracking provenance in clinical data warehouses for quality management","2025","International Journal of Medical Informatics","193","","105690","","","1","10.1016/j.ijmedinf.2024.105690","https://www.scopus.com/pages/publications/85208092408?origin=resultslist","Introduction: Data provenance, which documents the origin, history, and transformations of data, can enhance the reproducibility of processing workflows and help to address errors and quality issues. In this work, we focus on tracking and utilizing provenance information as part of quality management in Extract-Transform-Load (ETL) processes used to build clinical data warehouses. Methods: We designed and implemented a framework that automatically tracks how data flows through an ETL process and detects errors and quality problems during processing. This information is then reported against an Application Programming Interface (API) that stores the issues along with contextual information on their location within the data being transformed and the overall workflow. We further designed a dashboard that supports health data engineers with inspecting the encountered issues and tracing them back to their root causes. Results: The framework was implemented in Java using the Spring Framework and integrated into ETL processes for Informatics for Integrating Biology and the Bedside (i2b2). The dashboard was realized using Grafana. We evaluated our approach on three different ETL processes for real-world datasets used to integrate them into our i2b2 clinical data warehouse. Using the provenance dashboard, we were able to identify frequent error patterns and link them to specific data points from the sources as well as ETL process steps. Provenance tracking increased the execution times of loading processes with an impact depending on the number of identified issues. Conclusions: Provenance tracking can be a valuable tool for implementing continuous quality management for ETL processes. Relevant information can be collected from existing ETL workloads using dedicated APIs and visualized through dashboards, which support the identification of frequent patterns of problems together with their root causes, providing valuable information for improvements. © 2024","Clinical data warehouses; Dashboards; Data provenance; Quality management","Data Warehousing; Electronic Health Records; Humans; Software; Workflow; Data warehouses; Information management; Quality management; Clinical data warehouse; Dashboard; Data provenance; Dataflow; Extract transform loads; Flowthrough; Quality issues; Reproducibilities; Root cause; Work-flows; article; clinical study; data warehouse; diagnosis; female; human; major clinical study; reproducibility; total quality management; workflow; workload; data warehouse; electronic health record; software; workflow; Data quality","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85208092408"
"Blangis F.; Bergerat M.; Allali S.; Guiddir T.; Loschi S.; Gajdos V.; Faye A.; de Truchis de Lays C.; Basmaci R.; Beeker N.; Lecoeur E.; Adamsbaum C.; Rey-Salmon C.; Beccaria K.; Launay E.; Chalumeau M.","Blangis, Flora (55823643700); Bergerat, Manon (57410238100); Allali, Slimane (39260897800); Guiddir, Tamazoust (56162421100); Loschi, Solène (56667580900); Gajdos, Vincent (6601990678); Faye, Albert (7004386880); de Truchis de Lays, Camille (59335185500); Basmaci, Romain (36442218500); Beeker, Nathanaël (56652176500); Lecoeur, Emmanuel (57728964700); Adamsbaum, Catherine (56227926900); Rey-Salmon, Caroline (55932009600); Beccaria, Kevin (55249733700); Launay, Elise (15923456800); Chalumeau, Martin (6701345355)","55823643700; 57410238100; 39260897800; 56162421100; 56667580900; 6601990678; 7004386880; 59335185500; 36442218500; 56652176500; 57728964700; 56227926900; 55932009600; 55249733700; 15923456800; 6701345355","Adequacy of the Diagnostic Workup of Suspected Physical Abuse in Young Children: An Audit in the Paris Metropolitan Area","2025","Academic Pediatrics","25","7","102866","","","0","10.1016/j.acap.2025.102866","https://www.scopus.com/pages/publications/105010867620?origin=resultslist","Objective: An adequate diagnostic workup of suspected child physical abuse (CPA) is crucial for an accurate diagnosis and to consider differential diagnoses. We aimed to audit the actual practices in Paris area hospitals and evaluate their adherence to current clinical guidelines. Methods: We used specific discharge codes suggesting CPA in the Assistance Publique-Hôpitaux de Paris clinical data warehouse to identify cases of young children <2 years old hospitalized for suspected CPA in 2018–19 in 7 university hospitals. We systematically reviewed the electronic medical records to confirm the suspected CPA. We compared the observed proportion of the diagnostic tests performed to that expected according to current national and international clinical guidelines. Results: Among the 97 included children (median age 5 months), 60% had intracranial injuries, 40% skin injuries, and 30% skeletal injuries; 8% died. At least one of the key diagnostic tests (radiological skeletal survey, eye fundus examination, and head computed tomography or magnetic resonance imaging) expected to be performed systematically according to guidelines was not performed in 14 (14%) of children. Bone metabolism investigation was performed in 33% of the 43 children with ≥1 unexplained fracture(s). Hemostasis and coagulation investigations were performed in 82% of the 76 children with bruises or internal bleeding. Conclusions: Practices observed in the Paris area university hospitals for the diagnostic workup of suspected CPA were not always consistent with guidelines, thus leading to risk of misdiagnosis. Obstacles to the complete implementation of guidelines, such as physician's nonadherence, must be identified and overcome. © 2025 Academic Pediatric Association","clinical guidelines; diagnostic adequacy; physical abuse; young children","Child Abuse; Child, Preschool; Craniocerebral Trauma; Diagnosis, Differential; Female; Fractures, Bone; Guideline Adherence; Humans; Infant; Infant, Newborn; Male; Medical Audit; Paris; Practice Guidelines as Topic; Tomography, X-Ray Computed; liver enzyme; pancreas enzyme; abdominal injury; abusive head trauma; adolescent; adult; Article; bleeding; bone fragility; bone metabolism; bone scintiscanning; brain injury; burn; child; child hospitalization; child physical abuse; childhood injury; clinical audit; clinical evaluation; clinical practice guideline; computer assisted tomography; controlled study; contusion; data warehouse; diagnostic value; differential diagnosis; electronic medical record; eye examination; eye fundus; female; follow up; France; health survey; hematoma; hemostasis; hospital discharge; human; humerus fracture; hypoventilation; infant; laboratory test; major clinical study; malaise; male; medical record review; metropolitan area; mouth injury; musculoskeletal injury; neurologic examination; neurosurgery; newborn; nuclear magnetic resonance imaging; patient transport; pediatric traumatic brain injury; preschool child; protocol compliance; seizure; skin injury; skull fracture; social worker; subdural hematoma; systematic review; tertiary care center; university hospital; vomiting; young adult; child abuse; clinical audit; diagnosis; fracture; head injury; practice guideline; x-ray computed tomography","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105010867620"
